timestamp,temperature,humidity,location,weather_condition_cloudy,weather_condition_rainy,weather_condition_sunny
2023-01-01,22.5,60.0,1.0,0,0,1
2023-01-02,23.0,58.0,1.0,0,0,1
2023-01-03,21.8,65.0,1.0,1,0,0
2023-01-04,20.2,70.0,1.0,0,1,0
2023-01-05,19.9,72.0,1.0,0,1,0
2023-01-06,21.0,68.0,1.0,1,0,0
2023-01-07,22.2,66.0,1.0,0,0,1
2023-01-08,23.1,64.0,1.0,0,0,1
2023-01-09,150.0,65.0,1.0,0,0,1
2023-01-10,22.8,63.0,1.0,0,0,1
2023-01-11,21.9,67.0,1.0,1,0,0
2023-01-12,20.8,69.0,1.0,0,1,0
2023-01-13,19.5,71.0,1.0,0,1,0
2023-01-14,21.1,68.0,1.0,1,0,0
2023-01-15,22.4,65.0,1.0,0,0,1
2023-01-16,23.2,62.0,1.0,0,0,1
2023-01-17,24.1,60.0,1.0,0,0,1
2023-01-19,23.5,61.0,1.0,0,0,1
2023-01-20,22.7,63.0,1.0,1,0,0
2023-01-21,21.6,66.0,1.0,1,0,0
2023-01-22,20.5,68.0,1.0,0,1,0
2023-01-23,19.8,70.0,1.0,0,1,0
2023-01-24,21.0,69.0,1.0,1,0,0
2023-01-25,22.3,67.0,1.0,0,0,1
